央视频道,#genre#
海南卫视,http://36.96.38.246:8888/newlive/live/hls/42/live.m3u8
海南卫视,http://101.71.176.182:8888/newlive/live/hls/49/live.m3u8
内蒙古卫视,http://101.71.176.182:8888/newlive/live/hls/44/live.m3u8
内蒙古卫视,http://36.96.38.246:8888/newlive/live/hls/49/live.m3u8
甘肃卫视,http://101.71.176.182:8888/newlive/live/hls/36/live.m3u8
甘肃卫视,http://111.207.22.10:8888/newlive/live/hls/36/live.m3u8
河南卫视,http://111.207.22.10:8888/newlive/live/hls/33/live.m3u8
星空卫视,http://171.214.202.220:4000/udp/239.93.0.156:2193
星空卫视,http://113.86.206.78:9999/tsfile/live/1060_1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰卫视,http://mtw.so/5G8GjZ
都市剧场,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000002108/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
都市剧场,http://112.17.52.85/PLTV/88888888/224/3221233659/index.m3u8
爱谍战,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000070630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000070630&livemode=1&stbId=3
爱谍战,http://112.17.52.85/PLTV/88888888/224/3221233691/index.m3u8
爱科幻,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000020630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000020630&livemode=1&stbId=3
爱科幻,http://112.17.52.85/PLTV/88888888/224/3221233656/index.m3u8
爱浪漫,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000040630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000040630&livemode=1&stbId=3
爱浪漫,http://112.17.52.85/PLTV/88888888/224/3221233665/index.m3u8
爱历史,http://112.17.52.85/PLTV/88888888/224/3221233685/index.m3u8
户外旅游,http://112.17.52.85/PLTV/88888888/224/3221233703/index.m3u8
爱体育,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000290630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000290630&livemode=1&stbId=3
爱体育,http://112.17.52.85/PLTV/88888888/224/3221233700/index.m3u8
爱喜剧,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000010630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000010630&livemode=1&stbId=3
爱喜剧,http://112.17.52.85/PLTV/88888888/224/3221233658/index.m3u8
爱悬疑,http://112.17.52.85/PLTV/88888888/224/3221233650/index.m3u8
爱院线,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000006000030630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000030630&livemode=1&stbId=
爱院线,http://112.17.52.85/PLTV/88888888/224/3221233680/index.m3u8
IPTV经典剧场,http://112.17.52.85/PLTV/88888888/224/3221233671/index.m3u8
IPTV经典剧场,http://112.17.52.85/PLTV/88888888/224/3221233674/index.m3u8
IPTV经典剧场,http://112.17.52.85/PLTV/88888888/224/3221233688/index.m3u8
贵州频道,#genre#
贵州卫视,http://1.180.245.195:9902/tsfile/live/0130_1.m3u8
贵州卫视,http://111.207.22.10:8888/newlive/live/hls/29/live.m3u8
贵州-2,http://dsm.52mm.top:28888/udp/238.255.3.151:5999
贵州-3,http://dsm.52mm.top:28888/udp/238.255.3.152:5999
贵州-4,http://dsm.52mm.top:28888/udp/238.255.3.153:5999
贵州-5,http://dsm.52mm.top:28888/udp/238.255.3.154:5999
贵州-6,http://dsm.52mm.top:28888/udp/238.255.3.155:5999
贵州-7,http://dsm.52mm.top:28888/udp/238.255.3.156:5999
贵州风光,http://dsm.52mm.top:28888/udp/238.255.3.158:5999
遵义综合频道,http://dsm.52mm.top:28888/udp/238.255.3.206:5999
遵义公共频道,http://dsm.52mm.top:28888/udp/238.255.3.207:5999
遵义都市频道,http://dsm.52mm.top:28888/udp/238.255.3.208:5999
动漫频道,#genre#
金鹰卡通,http://u9v.cn/6pfxJz
金鹰卡通,http://183.94.146.109:9901/tsfile/live/1016_1.m3u8
哈哈炫动,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
哈哈炫动,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
卡酷少儿,http://kuai635.cn/jy
卡酷少儿,http://u6v.cn/6adxED
卡酷少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
嘉佳卡通,http://u9v.cn/6adxEj
嘉佳卡通,http://lhq-cctv.8866.org:18181/tsfile/live/1090_1.m3u8
动漫秀场,http://u9v.cn/6w1yqE
动漫秀场,http://lhq-cctv.8866.org:18181/tsfile/live/1088_1.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
CN卡通频道,http://kuai635.cn/t
广东少儿,http://ci.emdoor.tech:8080/touchtv.php?pk=1200
爱动漫,http://[2409:8087:7000:20:1000::22]:6060/000000001000/6000000006000280630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000280630&livemode=1&stbId=3
爱动漫,http://[2409:8087:7000:20:1000::22]:6060/000000001000/6000000006000280630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000280630&livemode=1&stbId=3
爱动漫,http://[2409:8087:7000:20:1000::22]:6060/000000001000/2000000004000000059/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000059&livemode=1&stbId=3
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
